,Unnamed: 0,cik_str,ticker,title
0,2430,1222922,EVV,Eaton Vance Ltd Duration Income Fund
1,2431,1173420,NG,NOVAGOLD RESOURCES INC
2,2432,1739566,UTZ,"Utz Brands, Inc."
3,2433,1293135,VET,VERMILION ENERGY INC.
4,2434,1332349,BKD,Brookdale Senior Living Inc.
5,2435,1713748,SKE,Skeena Resources Ltd
6,2436,40417,GAM,GENERAL AMERICAN INVESTORS CO INC
7,2437,1083301,WULF,TERAWULF INC.
8,2438,1670541,ADNT,Adient plc
9,2439,1854401,BRDG,Bridge Investment Group Holdings Inc.
10,2440,1881487,ACDC,ProFrac Holding Corp.
11,2441,1172052,SAFT,SAFETY INSURANCE GROUP INC
12,2442,916789,HELE,HELEN OF TROY LTD
13,2443,1308335,EOS,Eaton Vance Enhanced Equity Income Fund II
14,2444,1532961,NVEE,"NV5 Global, Inc."
15,2445,1395937,SNDX,Syndax Pharmaceuticals Inc
16,2446,1260563,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund"
17,2447,1839839,JBI,"Janus International Group, Inc."
18,2448,1276533,JFR,NUVEEN FLOATING RATE INCOME FUND
19,2449,2002473,BOW,Bowhead Specialty Holdings Inc.
20,2450,742278,RES,RPC INC
21,2451,1600620,AUPH,Aurinia Pharmaceuticals Inc.
22,2452,837465,MODG,Topgolf Callaway Brands Corp.
23,2453,1392326,CCEC,Capital Clean Energy Carriers Corp.
24,2454,1622194,DEA,"Easterly Government Properties, Inc."
25,2455,1538379,IBTA,"Ibotta, Inc."
26,2456,1819989,CIFR,Cipher Mining Inc.
27,2457,1794338,IGIC,International General Insurance Holdings Ltd.
28,2458,1828962,CRCT,"Cricut, Inc."
29,2459,799167,MRTN,MARTEN TRANSPORT LTD
30,2460,1795250,SPHR,Sphere Entertainment Co.
31,2461,811596,KALU,KAISER ALUMINUM CORP
32,2462,1275014,UCTT,"Ultra Clean Holdings, Inc."
33,2463,17313,CSWC,CAPITAL SOUTHWEST CORP
34,2464,933267,IRS,IRSA INVESTMENTS & REPRESENTATIONS INC
35,2465,1693256,WTTR,"Select Water Solutions, Inc."
36,2466,1628908,EVH,"Evolent Health, Inc."
37,2467,1567569,FPF,First Trust Intermediate Duration Preferred & Income Fund
